,Consumer complaint narrative
56,"I have a checking account with Wells Fargo from which I make payments to all of my credit cards. When I have made the recent payment from my account that has a balance of XXXX, the payment for {$140.00} ( XX/XX/20 ) was returned and as a result, I was charged an additional fee of {$29.00} + {$140.00}. When I called Wells Fargo they transferred me 2 times, each time I had to wait 45 minutes. No real solution was found. I have requested for the card to be closed and money to be refunded to me, the representative refused."
57,"I received a debit card from Wells Fargo that I never requested. I have never had an account with this Bank. 

It was a debit card not a credit card."
58,"On XX/XX/XXXX, I made a recurring payment of {$100.00} to my XXXX XXXX XXXX Credit Card to satisfy my payment due on XX/XX/XXXX. However, the minimum payment amount was actually {$100.00}. I failed to realized that my payment amount had increased after a recent purchase. In late XXXX I received a collection notice stating my account was past due. I called the collections department to confirm they had received my XXXX payment that cleared my bank account two weeks prior to the due date. I was informed of the payment shortage and acknowledged that I failed to adjust my monthly recurring payment after a recent purchase that increased my balance. I stated that I would make a one off payment immediately to bring the account current ( a {$30.00} payment posted to my credit card account on XX/XX/XXXX ). I asked the representative to reverse the {$27.00} late fee as a one time customer service gesture. The representative agreed. On XX/XX/XXXX I logged in to my online account to check the balance for a promotional financing offer that I knew was expiring soon. At that time I noticed that there had been no adjustment made for the {$27.00} late fee that was assessed on XX/XX/XXXX. On XX/XX/XXXX I called customer service to explain the issue and spoke to three different representatives who stated that there was not record of a promise to waive the fee and furthermore they would not be able to reverse the fee. I even requested to have the fee reversed on sheer principle since I 've been a long term customer, have never been late and always pay my promotional financing in full before they expire ; all separate from the fact it 's quite egregious to charge {$27.00} for a {$7.00} partial payment shortage. I was finally transferred to a resolution analyst who stated someone would review and get back to me before XX/XX/XXXX. At this rate, the expense that they 've incurred via several phone calls that were each in excess of 10 minutes and the value of time I 've personally spent - far more than {$27.00} has been exhausted. This issue could have been easily resolved and I 'd be a happy customer with the first call, I 'm ok with the oversight and the need to make a second call but at this point the lack of service is unacceptable."
60,"They recently responded with proof of delivery, but that is NOT MY NAME not my SIGNATURE and I live by myself, Why am I trying so hard back and forth think? because of course am truthful here and no matter what I will complain 10 more times next to OCC anything for me to make this fair for myself. in the response, Wells Fargo is claiming their employee did not misbehave or hung up the phone on me? THAT IS A LIE. i was trying to tell XXXX if I can speak to the case officer she said NO I asked her what can I do she said well NOTHING. wells Fargo can not just say OHH nothing and leave me liable for something I never received. forgery of the signature of the driver has handed the package to someone entirely different and they do not want to take liability. 

- ) I informed in time as soon as I found out my package was lost. 
- ) I responded to every communication wells Fargo had. 
- ) visa is saying they can't help because the merchant is showing the proof of delivery? WHAT PROOF? MY NAME? NO, MY SIGNATURE? NO NOTHING. 
- ) the merchant needs to file a claim with XXXX and recover with them because they took an extra {$40.00} from me for a SECURE delivery which they did not do I can not be put liable for this I will come back with this complaint back and forth. Until you are more than welcome to call me and discuss with me if you are confused. 

*previous communication is attached below. 

on XX/XX/XXXX i called wells Fargo reporting a purchase issue with XXXX for {$3800.00}. Where I paid an extra {$40.00} to XXXX for a secured delivery to me and the parcel to be only released to me but anybody else i did that because of the amount of the purchase and i wanted to be secured from my end. On the XXXX of XXXX, i was at home waiting for my parcel to arrive, XXXX never showed up and i received an email from XXXX saying that the parcel was delivered to the address i freaked out and checked the tracking, It said it was delivered NO SIGNATURE WAS OBTAINED AND SOME RANDOM DELIVERY NAME AS XXXX was mentioned, For secured delivery XXXX is required to check the ID of the person before they release it. I freaked out so much as it is my life 's very first investment i called wells Fargo and reached out to XXXX and XXXX .. XXXX said that the sender could file a claim with us as a receiver i could not do anything. I called XXXX they said they will look into it since then never replied, Wells Fargo initiate my dispute on the XXXX of XXXX with dispute details Dispute Number : XXXX Date Posted : XX/XX/2022 Merchant Name : XXXX, XXXX. Amount of Transaction : XXXX Card Number : XXXX Status : Dispute Initiated Wells Fargo called me on XX/XX/XXXX saying they are going to decline my dispute, I spoke to XXXX from the claims department, and She was insulting, I was trying to understand how can i put liable for something i did nothing wrong - ) I paid extra on top of the total price of the product. - ) i informed my bank less than 24 hours after the incident. - ) i replied to every call wells Fargo had for me. even after all of this, she was so rude to me that SHE HUNG UP ON ME WHILE I WAS TALKING. and just yesterday they posted the charge back onto my account. I want to know where was i wrong? how am i liable? I am a fulltime XXXX XXXX  it was my life 's first investment and i have now been left with nothing they putting me liable for something i never received. What about visa customer rights. XXXX did not deliver what they promised. Please help me Please."
62,"I received a letter dated XXXX XXXX ( as attached ) from Wellsfargo saying I own money to XXXX 's XXXX ending XXXX. In fact, I paid off all balances on site ( right after each purchasing by using the card. I have not used this card for years, and I have never received any card statements either via mailing or electronically for years. in the afternoon of XXXX XXXX, I visited Wellsfargo XXXX and at the branch I called the number listed in the letter - XXXX - XXXX and asked for all details but with no answers. Then I was told by a banker that 1 ) the card was closed/expired and 2 ) I paid the card {$10000.00} on XX/XX/2022. I could not find any records paying this amount, and I am attaching my XX/XX/2022 bank account statement, this account is the only payment method I can think of. And the banker asked me report this financial fraud."
66,"I received 3 credit cards in the mail I did not apply for. I thought they were junk mail until I opened them on Saturday XX/XX/XXXX. All three accounts sent me physical credit cards. 

XXXX. ) Wells Fargo XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX ( Visa Signature ) I received a bill statement from XXXX XXXX XXXX XXXX XXXX  card. {$75.00} on XX/XX/31 for "" Annual Fee ''. 

Wells Fargo sent a statement with a {$0.00} balance. 

I called each company and successfully closed & blocked the credit card as well as open an investigation into the fraud activity. 

- XXXX XXXX closed Saturday XXXX - XXXX XXXX XXXXXXXX closed Saturday XXXX - Wells Fargo closed Monday XXXX I also received a notification from XXXX XXXX  declining an application "" due to number of recent inquiries on consumer report agency '' XXXX was listed. 

I am not sure if there are other fraudulent accounts open in my name in addition to the three listed above."
68,Wells Fargo sent out super checks with promotional material that said that I would have no interest for any check I used for 15 months and that there would be a 4 % upfront fee. I wrote one check for {$10000.00} in XXXX and one for {$3000.00} in XXXX. The 4 % ( {$540.00} ) was added to my balance. I paid off any regular credit card charges every month but I kept on being charged interest. I called and they told me that was just how the system worked. I have called multiple times and have been progressively moved up the chain but the answer remains the same. The super checks totaled {$14000.00} and my current balance is {$13000.00} and I continue paying interest every month even though I stopped charging anything on my account months ago. My complaint is how can I owe interest when the balance is lower than the amount I wrote the checks for plus the 4 %. And if it is just the way the system works then how many of the thousands of other people who did this are also getting charged interest on their no interest supercheck offer?
69,"I signed up for the Wells Fargo XXXX credit card that advertises 1x point per {$1.00} spent on rent. After a HARD PULL on my credit, I am informed that I ALSO have to make a minimum of XXXX transactions on the credit card per month to get any points added on to my account ( the rent payment does NOT count )."
70,"Hello, I live in XXXX. I have a credit card with Wells Fargo, which I have had for over 10 years. I also have a deposit account ( Checking + Savings ) linked to that credit card. 

On XXXX I received a letter informing me that my deposit account will be closed for the following reason : "" Our records reflect that the above-referenced account has one or more account holders with a non-US address on file which does not meet this new requirement. '' The XXXX of the problem : My credit card with Wells Fargo has an outstanding balance on it which I pay monthly. Without a deposit account, I have no way to make a payment on that credit card. 

I work for a XXXX company and am paid my salary in XXXX into a XXXX XXXX account. Once a month, I send yen to my Wells Fargo Checking account and use that to pay my credit card. Without a deposit account, there is no way for me to transfer that payment to my credit card balance. My account will accrue interest and eventually ruin my credit. 

How is this possible? How is it legal for a bank to delete your ability to give them money, and then charge interest on a balance they know you have the means but no procedure available by the bank itself to pay? 

I can not visit a branch. There is no branch in this country. To fly to the nearest branch, I would need to buy an airplane ticket that costs the same as my credit card balance ... with a credit card. 

It should be noted that both my Wells Fargo checking, savings, and credit card accounts have long had my XXXX address attached. They mail my statements here. 

On XXXX I spoke with the Wells Fargo Checking and was heavily pressured and berated to give verbal authorization to close the account. I refused until they could tell me how I can continue to pay my linked credit card product. 

I then spoke with Wells Fargo Internal `XXXX Credit Card Advocacy Group '' ( XXXX ) and expressed the same concern. They created case # XXXX and promised to follow up. As of today, they haven't contacted me at all. 

I am being placed in a situation, designed by Wells Fargo, where they have boarded up the deposit window to my line of credit to let the account accrue interest and fees. It would be funny if it were a joke in a XXXX comedy. 

This is super messed up. Help. 

EDIT : When I set my home address country to "" XXXX '' your online form returns error : "" Failed to save complaint ''. When I set it to United States, it allows me to send the complaint. My country is XXXX, my state is XXXX, XXXX XXXX and my Zip is XXXX. It is the same as the attached document. The fact that I can't submit the complaint with my address is also... super messed up. Will you actually help?"
72,"Greetings, Wells Fargo would not give me a small business loan, therefore I had to use the personal Wells Fargo credit card with high credit points in order to conduct daily business while being a XXXX XXXX XXXX XXXX. Once I reached my limit, and had slow payments. Wells Fargo passed my account over to XXXX XXXX  XXXX, a collection agency who ultimately had a XXXX XXXX XXXX XXXX rule on a "" Garnishment of Wages '' against me in 2017 in XXXX, Tennessee XXXX XXXX XXXX. Now, after several years of paying promptly, I've contacted both Wells Fargo and XXXX XXXX   XXXX and they've both been unwilling to allow for me and my wife a pay - out amount even since this Coronavirus Pandemic crisis. And they have still refused on each phone call with their reply to deny. As an XXXX American  family, we have reviewed such horrific actions caused towards XXXX Americans from Wells Fargo and criminal tactics since The Great Subprime Scandal. Nationwide, XXXX Americans and XXXX  have suffered tremendously due their criminal intent actions. And now, for almost three years,  my Credit Report has been ruined due to the fact of having a "" Garnishment of Wages '' in the report. I've filed a recent request for a court hearing in XXXX XXXX XXXX."
75,"XXXX  has been non-compliant with removing the unverified account WELLS FARGO CARD SER which has been deleted by XXXX XXXX XXXX XXXX XXXX XXXX have both completed their research and determined that WELLS FARGO CARD SER was not established by myself but XXXX keeps verifying this accounts. Also, when I called the company they responded that XXXX   did not send them all of the verifying evidence to confirm each account is unverified."
81,I was a Wells Fargo customer and want to inquire about the lawsuit the are ordered to pay restitution to customers.
86,"When I opened a checking account at Wells Fargo in XXXX of 2004, at XXXX years old, they opened a credit card in my name as well without my permission. I noticed it when they were also charging me for their rewards program, for a card I didn't apply for. I called them to stop the charges and had to threaten them to get them to remove the rewards program charges, but the damage was done and the card was opened. Closing the account would only hurt my credit score, so I left it open but never used it once in the almost 11 years it was open."
90,I have a lot of unauthorized transactions
94,"Lately, past few months noticed my interest was {$68.00} on {$3300.00} balance. Is n't this way too high. I pay {$100.00} a month and only get accounted for only a few dollars. This past statement was for Wells Fargo, billing period XX/XX/XXXX to XX/XX/XXXX. Something has to be wrong. This is ridiculous."
95,"I have been a customer of Wells Fargo since XXXX having recently closed my bank accounts due to these ongoing issues. I procured my WF credit card in XXXX and it has been down hill since then. Wells Fargo is mismanaging my credit card and you need to know this. Payments have disappeared, money has not been credited to account, automatic payment form has a forged signature, and credit line changed without contact, and more. This mismanagement is so egregious that their own employees have agreed that there has been improper handling of this account. 

I have been dealing with issues on the credit card for three years and nothing has been resolved. Talked with three different people in executive office, numerous branch officials, and countless phone customer service agents. This led me to close accounts with WF to never bank there again. 

This is in line with their previous illegal practices which I do not mind seeking litigation for this issue."
98,"I was notified by XXXX that a transaction was made for {$3400.00} to an merchant unknown by me so I file a fraud claim with the bank, They made a provisional credit to my account after calling the claims department several times and also visiting the bank a few time more about this issue. Then this weekend of XX/XX/2022, I received a letter after a period of about 2 weeks of their investigation that they had decided that I authorized the transaction or approved some else to make the transaction, and so they denied my claim. I am very angry about this as I DID NOT make or authorized this transaction using my ATM card. I further call the bank to cancel that card in question, and they send me another card in about 10 days. I have until XX/XX/2022 when my account will be debited for this amount unless I can get them to investigate this claim further, as it was deemed closed stated in the letter from the bank."
101,I called Wells Fargo today to make a payment with the same account information I make it with every month for the past 5 is years. I verified over 5 pieces of information like I do every month and have been doing for the past 5 years. Today they refused to take my payment from the account I gave them verifying the routing number and the bank name. The manager stated she would notate my account to make it more difficult for me to call In and make future payments even though I had correctly verified all the information where my payment was coming from.
103,"This constitutes an Official Notice in accordance with the Fair Debt Collection Practices Act and the Truth In Lending Act, that I hereby Dispute the debt in the above referenced account. 

It has come to my attention that there may have been some accounting irregularities in this account, which have adversely affected me. In reviewing the account it has come to my attention that fraud and/or other violations of public policy may have occurred in the operation of this account, therefore, I will be conducting discovery to determine the true facts in this matter. This constitutes the exhaustion of my administrative remedy, in accordance with the Administrative Procedures Act, as concerns the above referenced matter. 

This discovery process has been presented under Notarial Seal for the purpose of certifying the admissions, confessions and stipulations of the Parties, to create a public record thereof, via the issue and filing of an Administrative Declaratory Judgment, by Notarial Protest. Said Administrative Declaratory Judgment is issued under statutory authority and under the authority of the Secretary of State, acting as an agent of the Department of State, and carries the power and authority as if issued by the highest court in the land. Said Judgment constitutes res judicata, star decisis, collateral estoppel and judgment by estoppel. 

Please take note that this discovery process has been served under Notarial Seal and valid subpoena establishing your mandatory obligation to timely respond and/or rebut the following, point by point and line by line, verified true, correct and complete, signed, sworn to and notarized in affidavit form and to provide certified copies of the requested documentation. 

Please respond and/or rebut the following points in the attached affidavits and documents, point-by-point and line-by-line, in affidavit form, and provide documentary evidence to support your claim."
105,Wells Fargo ripped me off with their company operating as XXXX XXXX
106,"XX/XX/XXXX Wells Fargo called to say there was a suspicious charge on a business account. The charge was not mine. They replaced the card. 
XX/XX/XXXX I received an email stating suspicious transaction on my account. I called the number in the email and was phished for info that resulted in an online wire transfer for XXXX, a combination of XXXX from WF credit card and XXXX from a checking account. 

Wells Fargo denied the fraud claim no reasons given. While on the phone reporting the fraud the representative explained to me how this happened and requested the email I received. I sent the email to the address she gave me. At the time it seemed like WF knew this was fraud and were there to help but the letter sent denied the claim and said there was no fraud found. I have several first names from WF fraud dept but no last names as they will not give them. Ironically I have the first and last name of the person who I thought was WF but was actually the person committing the fraud. 

I am out XXXX and I do not have the money to pay it back and XXXX was mime for my mortgage payment. 

I have claim numbers and account numbers. The Credit Card has been terminated and a new card has been issued and the XXXX has been transferred to the new card by Wells Fargo."
