,Consumer complaint narrative
22,"I deposited a cashiers check on XX/XX/XXXX of a total amount of {$10000.00} to my wellsfargo saving account. My receipt stated funds would be available on XXXX/XXXX/23 and they were not. I went to the bank directly and teller informed me a second hold was placed on the check and that I would have to resolve the issue with customer service. I called customer service regarding the issue and was informed a message was sent to me via the app messaging system regarding the hold. I never received an email regarding a new message on my wellsfargo app or an email regarding the hold on the cashiers check. I spoke with customer service and they informed me there was nothing they could do to expedite the process or release the funds. 

My wellsfargo mobile app shows the funds in green as processed and does not state any message regarding the funds pending for any reason which is leading to confusion. 

I then had the person who wrote the check contact their bank ( XXXX ) and on their end they stated there were no issues disclosed with the account the check originated from and that the funds were released to wellsfargo on XX/XX/XXXX/23."
23,"I do not have an account with Wells Fargo but wanted to cash a check drawn on that bank. I was in the XXXX, Nevada branch on XX/XX/2020 about XXXX and the teller asked for identification. I gave her my driver 's license and XXXX XXXX XXXX. She wrote my personal ID number from the driver 's license on the back of the check. I told her that she should not be doing this as it is giving my personal information to other people. This is the second time this has happened at this branch. She said it was Wells Fargo policy. Thank you in advance for helping me. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX, NV XXXX XXXX"
27,"As indicated in complaint # XXXX, an international wire transfer of XXXX GBP from my daughter 's XXXX XXXX account to my checking account in Wells Fargo, XXXX GA, was never deposited. After 7 months of inquiries and complaints, Wells Fargo confirmed they deposited the money in the wrong account, and that they were not responsible. They told us our only recourse was to sue the fraudulent party ; however, they can not give us their identity. 

The facts are that the account number in the transfer was missing a digit ... no accounts in GA have that number of digits, The name and address of the recipient were mine! Wells Fargo did not meet any banking standard and participated in fraudulent transfer of funds. The recipient, according to Wells Fargo, contends that the funds are no longer available. Their error cost my daughter over {$7000.00}. She was transferring money to pay for her school loan."
28,"I, XXXX  report to Consumer Financial Protection Bureau in compliance with the Electronic Funds Act of 1978 ( Regulation E ) that I was induced and scammed by a third party to transfer funds out of my account XXXX XXXX in Wells Fargo XXXX 
On XX/XX/XXXX I received a call from a number exactly alike from that of my bank and was asked and induced to transfer funds alleging that in order to get money back that was subtracted from my account I was to make several transfers of funds through XXXX. The third party knew my bank information, my card security code and called from a number exactly from that of the bank. 

I detail the XXXX transfers bellow : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  I request the CFBP to make an investigation as my funds where transferred/subtracted with a scam mechanism and also request a refund of my funds since as a consumer I should be protected against this type of criminal activity. 
WELLS FARGO and XXXX have not favorably responded to my request of a full refund of my money but they should have a detailed summary as to what fraudulent account my money was actually transferred to and should be able to trace it."
29,"On XX/XX/2022 I reported a scam to XXXX for a {$230.00} transaction. Within minutes of the transaction, I attempted to cancel it but XXXX wouldn't allow me. I attempted to request a refund the next day, but that didn't work either. When reporting the XXXX user as a scam, it automatically blocks the account so I can't see if it's still active on XXXX. I tried contacting customer support, but they only had a chat bot. I asked the chat bot for a phone number numerous times and was never provided with a number for a live agent. 
I then disputed the transaction where the money transmission came from - my Wells Fargo checking account. I sent Wells Fargo all of the chat transcripts, logs, and receipts, but never received confirmation that they received the information or reviewed it. Several days later, I called Wells Fargo claim support and asked numerous times if they received the email where I sent every detail about the dispute. I was told it doesn't matter because they won't honor XXXX transaction disputes. I asked to speak to a manager, but was transferred to an escalation call center where the agent repeatedly only said, "" we won't honor this dispute. '' I spent a ton of time and effort doing my due diligence to have to follow up myself and simply be told no one will help me. 
I was dismissed by XXXX and I was dismissed by my bank ( Wells Fargo ) despite having FDIC insurance that is supposed to protect me from scams and fraud like this. If Wells Fargo won't even submit a chargeback for blatant scams such as this, they are encouraging the proliferation of scam artists on these apps because there's no repercussions."
30,I initiated an instant transfer from my XXXX account to my Wells Fargo account in the amount of {$3.00} on XX/XX/20. XXXX indicated funds availability on XX/XX/20. The funds were delayed by Wells Fargo and not available until XX/XX/20.
33,On XX/XX/XXXX {$45.00} on XXXX went to the wrong person ( complete stranger ). On XX/XX/XXXX the bank was contacted to send the money to the correct person the phone number was one digit off. The bank said it would take 10 days to correct but never corrected it. Now XX/XX/XXXX they are saying they can't do anything about it.
36,"I tranfer money using XXXX  a total of XXXX and the receipient did not received it. So I try again and was not received. Then I try with XXXX dollar and same thing kept happening. I call the bank XXXX and created a ticket and I was given a reference # and was told they would look into it. Its been XXXX   days and still I havent gotten my refund. 

Date of tranfer was XX/XX/XXXX for a total of {$400.00}"
37,"There were XXXX XXXX transfers taken from my bank account from Wells Fargo bank totaling {$870.00}. Wells Fargo states that me or someone I gave authority to made the transactions to an unknown person and there was no other processing errors by the bank. 
I was left with {$.00}. I did not XXXX money to anyone leaving me and my wife both XXXX seniors without food or medications necessary to sustain us. I am an XXXX XXXX XXXX veteran who has never sent a XXXX and am technologically challenged. I need to make a complaint against Wells Fargo bank."
39,On XX/XX/XXXX I received an email. from Wells Fargo stating that my Wells Fargo business account had been compromised and to please give Wells Fargo a call. I was busy working and did not see the email so Wells Fargo called me and said a wire transfer of {$13000.00} had been initiated. I stated I did not do that and and the said to read off the verification code that was texted to me and I did. they said they would cancel my cards and bank accounts and rush me new cards. so I waited tell Friday XXXX days later and nothing happened so I went into the bank and explained my situation. They stated that they did not know what was going on and transferred the money sense I gave them the verification code which I did not do! Turns out that I was talking to fraudsters on the phone and gave them the verification number. Wells Fargo has stated this is all my fault. I have made a police report with the XXXX  XXXX police department.
44,"On XX/XX/XXXX Wells Fargo closed an account I had opened with them on behalf of my father using my power of attorney. They had allowed me to open the account and I had deposited into the account money from the sale of his property. I had used that money then to pay off some of his debts. A few months later Wells Fargo informed me that I didn't have the proper power of attorney to open the account and told me I had to go to a branch and close it. I went to my local branch and they issued me a Cashiers ' check for {$8500.00}. When I asked them when the check would expire they told me that it would not expire. For various reasons I let the check sit. 

Two weeks ago I went again and opened another account for my dad using my Power of Attorney. This time I was told I had all the proper paperwork and the account was opened. I deposited the cashier 's check into the account after the banker assured me I would have access to the funds. At no time did the banker helping me tell me this would be an issue. A few days later I log in and find out that the check had been deducted from the account. After several phone calls from me to them with no follow up from Wells Fargo I was told by Wells Fargo that my check had been sent to the State of Pennsylvania as unclaimed property in XXXX of XXXX. At no point in time did anyone inform me that this action would take place, nor did they send anything to my father because he also has my address. Now when I went to start my unclaimed property check with the state of pa, I found that they have no record of this being sent to them by Wells Fargo. The complaint department at Wells Fargo told me they couldn't at this time provide me of evidence that they had sent the money to the state. So as it stands right now my family has been robbed of {$8500.00}."
47,Explain what happened! Ref # XXXX is some of what happened but it goes all the way back to my original complaint with the FTC case number XXXX this report will explain it better then I can right this instant. I know one of the cards ends in XXXX with XXXX XXXX XXXX and Wells Fargo Both are and have been being fraudulently used since I started I started them. I believe it may go as far back as XXXX! I hope I am within my rights to file a complaint against two banks together. I reference about 20 at once both foreign and local and nation wide. For now I want to start with a complaint against the miss use of my accounts with XXXX XXXX XXXX and Wells Fargo please and thank you! XXXX XXXX XXXX XXXX ( XXXX )
48,"My war with Wells Fargo Bank began XX/XX/2020. I made a {$1300.00} transfer from my XXXX  checking account to XXXX XXXX in XXXX, Alaska. Transfer went through but to a XXXX XXXX XXXX account located in Texas. This was the time XXXX was being accused of having fake accounts and transferring money into those accounts. I feel this is what happened to me as I do not have any bank accounts in Texas. I contacted XXXX immediately and was informed that this was a bank fraud and I went through that process. I was told that all XXXX had to do was contact the bank in Texas and dispute the transaction. They would not do this. A few days later, my XXXX checking account was closed without my knowledge or any prior notice. 

I have fought this for almost 18 months and have filed appeals on the XXXX decision. Their ultimate decision was that I "" authorized '' the transfer. I have argued that the money went into an account that was not mine. I was told they "" didn't care if the money went to XXXX XXXX, I authorized the transfer ''. This is totally a case of fraud and using my money for their advantage."
51,"Im selling a product at XXXXXXXX XXXX  cost {$30.00} only, the buyer sent the payment thru XXXX XXXX ( newly created acct ) and ask my email address for confirmation and then I received an email that my XXXX XXXX is acct restricted saying that my acct is limited and not a XXXX XXXX XXXX acct so I need to contact the buyer to send me {$300.00}. So that it will change to business acct and be credited immediately in my account. The next thing happened is that he asked me if he can trust me on refunding the {$300.00} because he got deducted. Then I received an email that my acct has been upgraded to a business account and final steps to follow on how he will be refunded. But the {$300.00} that he sent is not yet deflected on my XXXX XXXX but he said it wont show up until Ill make a refund and a screen shot proof thru the confirmation email. He sent me his XXXX which XXXX XXXX, but acct not found. He then sent me a number to which I will send the money XXXX name XXXX XXXX but its pending. So he asked me to cancel the payment. He provided another another XXXX XXXX XXXXXXXX, I sent another {$300.00} and completed but it has been refunded by the app and said fail. He called me and asked me if I can just refund"
52,"I found an ad on craigslist for winter 2023 month rental in Florida. to make payment I did online banking from my XXXX XXXX XXXX XXXX, XXXX XXXX MIchigan ( XXXX ) ( mailing address : XXXX XXXX XXXX XXXX XXXX, MI XXXX ) to an Wells Fargo bank account info given me by the now known scammer for {$4000.00}. The account it went to at Wells Fargo was : Account name XXXX XXXX  XXXX Routing number XXXX Bank address- XXXX XXXX XXXX XXXX XXXX FL XXXX XXXX phone number- XXXX This payment processed from my account ( confirmation number # XXXX ) on XX/XX/XXXX on XXXX and was received at Wells Fargo account to scammer on XX/XX/XXXX XXXX He issued me a rental contract and receipt at that time once he verify money transfer. The contract was signed by XXXX XXXX who I found out then through the owner 's assn of the complex after receiving an address of the rental and tried to confirm ownership was the real owner. He emailed me to tell me his wife and he bought this place in XXXX and the pictures were of his unit and they do not rent so this was false advertising and this ad was a spam. The scammer used the pictures from XXXX and description of the property to create the craigslist ad and even in gave me reference emails to contact of "" previous renters '' were also false responses since no one has rented this unit per real owner. His email is XXXXif you need to confirm ownership. He gave permission for me to give his contact info to my local sheriff dept to contact him for that reason. 
All emails form the scammer came from XXXX XXXX  XXXX is copy of a header of one email : On Thu, XX/XX/XXXX, XXXX ( Direct Owner XXXX ) Since discovering this was scam he has never responded to me emails. He always answered my questions about this place in a way that would make me believe it was true and reliable I had no down there I know as I am in MI to check it out. He responded readily prior to receiving his money. 
The day I found out this was a scam I went to my bank to file a scam report and request my refund. They filed info with Wells Fargo and have received no reply as of yet. I also files a theft report with the XXXX XXXX XXXX XXXX and report number is XXXX. XXXX Co XXXX XXXX is XXXX XXXX XXXX XXXX XXXX XXXX, MI XXXX. Detective XXXX XXXX is assigned to this case. With the money involved I'm told this is a felony offense. At his request I filed a report with the FBI called a XXXX. I realize this won't be investigated by FBI for this amt of money but to get this on record to look for patterns. 
I am told by my credit union Wells Fargo is notorious and never replying to requests of this nature and is a "" corrupt bank ''. I am asking for my reimbursement of my {$4000.00}. I see on line Wells Fargo has a find for this ordered through the government. Perhaps I can reimbursement through that find with this form being filed? 
I have emails saved in my possession related to renting this place and am in process of getting a copy of the police report. I reported the scam to XXXX. The posting was removed from XXXX about 2 weeks before I found out it was a scam. I tried calling Wells Fargo myself and filed a complaint since the credit union wasn't receiving a response. I was transferred to four different people telling me the "" next dept could help me '' and finally being told this is handled through the "" back door and only the credit union can deal with this since I am not an account holder at Wells Fargo. '' My credit union account number is XXXX XXXX XXXX XXXX and XXXX XXXX XXXX. 
The two emails that I received as references for this rental that I'm thinking the scammer routed back to him to answer were : XXXX and XXXX. Both responded positively about the person renting from, the unit being great and area beautiful. Not sure if you needed that info or not but sent so you haver as much info as possible. 
I answered the question prior to this description asking if I can receive and disperse fund through a wallet on my account as yes because it is my checking account and I transfer money in and out of it I hope that was the correct answer. 
I look forward to your investigation of this and perhaps getting my reimbursement for the crooked transaction and scam I was taken on. Thank you! I appreciate any of your efforts to solve this."
53,"Wells Fargo, allowed the draining of my credit car and money withdrawn from my savings without my permission. My checking account at the time had a balance of {$8500.00} and a hacker got into my account while posing as a XXXX security agent. They took over the handling of my Wells Fargo Accounts and transferred money from my credit card to my savings and then from my savings account and Wells Fargo did not stop it. Even after I called to explained they said there was nothing they could do because it came from my XXXX address. Even though I explained and advised them the transfer was not authorized or done by me. They said because it came from my XXXX there was nothing they could do. Then they charged me an additional {$770.00} for a cash advance I did not authorize. So, I so I closed all of my accounts with Wells Fargo because they did not take protect my funds when they should have. Now I stuck paying advanced fee 's and {$14000.00} back for something I should have had to deal with it Wells Fargo had stop the transaction like they should have. 
When you review their communications, they could not get the total amount correct which lead to more confusion and wonder about their professionalism and being able to protect my funds."
54,"Dear SirMadam My name is XXXX XXXX XXXX On the XXXX of XX/XX/2022, I won a lot XXXX at XXXX XXXX ( a marketplace of used cars ). It was a XXXX XXXX. The total sum of money was XXXX USD. On the same day, I contacted the local branch of a bank to make a payment and the payment was made. However, for unknown reasons, the transferring bank sent it only on XX/XX/2022. Unfortunately the recipient did not receive the money as at XXXX XX/XX/2022 and the lot was placed at the market place again. On XX/XX/2022, I turned to my bank ( transferring bank ) to cancel the payment, because the recipient hadnt received the money. About a week later, my bank ( transferring bank ) announced that it was not possible to cancel the payment, because the money was credited to the recipient 's account. When I communicated with the recipient, they said that the money had not been received by the XXXX of XX/XX/2022. According to XXXX tracking on the Wells Fargo bank recipient 's website, the payment is listed as "" in progress. '' When I ask Well Fargo Bank to explain what has happened with the money they dont give me any information. 
Thus, I am writing to you to ask for help. I would like you to help me find this money and if it is possible I want you to help me to contribute to deposit money to the account of the recipient. If it is impossible I want to refund my money. 
All the available documents have been attached. 
I am looking forward to your reply. 
Yours faithfully, XXXX XXXX."
55,On XX/XX/21 and XX/XX/21 the same person stole money from my Wells Fargo account and wrote a fraudulent check that was supposed to repay some of the stolen funds and the check was fraud too. I am guessing I am not supposed to provide the thiefs details but I gave them and record of all accounts and transactions and a police report associated and I have been trying to get my stolen money back from Wells Fargo for over a year now. The amount of money stolen is over {$7000.00} total with 2 transactions where the thief took my money.
60,"On XX/XX/XXXX, Wells Fargo received a payment in the amount of {$2000.00} from my XXXX XXXX checking account ending in XXXX. The funds were mistakenly sent to pay a "" PAID IN FULL mortgage account # XXXX. The funds ( {$2000.00} ) laid dormant in this "" Paid in Full '' account for 4 days. 

On XX/XX/XXXX, I placed a phone call to Wells Fargo. I explained the above to a clerk who looked up my account. She agreed that the funds are in the "" paid in Full '' mortgage account. She could not explain why the funds laid dormant in the "" Paid in Full '' mortgage account for 4 days. The clerk told me that they could refund the money to me, but that the funds would have to be send back through the "" Bill Pay '' that I used to pay the mortgage. I then clearly explained that the "" Bill Pay '' account that was used to send the funds was now cancelled and asked them to send a certified check to me and my wife instead of sending the funds back through a closed "" Bill Pay '' account. The clerk left the phone to confer with her supervisor. The clerk then told me that she would have them mail a check on Monday XX/XX/XXXX and That I would get the check on Tuesday XX/XX/XXXX. I never received the check. 

On Wednesday XX/XX/XXXXI placed another call to Wells Fargo. spoke to XXXX employee # XXXX. The funds ( {$2000.00} ) in the account were now marked as reversed. XXXX said the funds were sent back through "" Bill Pay '' channels.XXXX XXXX said they do not have the money and the bill pay company does not have the money. The money was never mailed like I requested and that they consented to. Could someone please help me recover my money. XXXX XXXX XXXX XXXX XXXX"
61,"On XX/XX/2020 I used XXXX via Wells Fargo to make a {$350.00} payment to a man for the purchase of a puppy for my wife, the next day on XX/XX/2020 I sent the final amount of {$350.00} ( for a total of {$700.00} ) after I received what I believe to be an actual video of the dog complete with the man calling the dog by the name we where going to give it and the date and an email with the bill of sale. On XX/XX/2020 I received an email from a company claiming to need {$1000.00} "" pet insurance '' to send the puppy via airplane. I knew immediately that we had been scammed and attempted to get our money back. The man claimed he was going to the airport to cancel the flight and would refund us our money the night of XX/XX/XXXX. He has sinced blocked us and not been responsive. I was sceptical when he first mentioned XXXX but when I saw that it was endorsed by Wells Fargo I thought it could be trusted as the XXXX page looked legitimate and had a couple of people claiming to have purchased from him. The scammer was very reassuring during the process and even had a professional looking fake shipping company website that they used to try to get more money out of us. We have reported them to XXXX and warned others in my wifes pittbull group. I will be trying what ever I can to not only get our money back ( which is most likely gone ) but warn others. Avoid XXXX 's XX/XX/XXXX, XXXX XXXX and "" XXXX XXXX '' at all costs."
62,"I sent my daughter money via XXXX to an account that was closed and they never gave me my money back. I called and they said since it was through XXXX there wasnt anything I could do. I can not remeber exact amount it was for her and her husband tickets to a sporting event for her bday a few years back between $ XXXX {$1200.00} XXXX dont recall exact amount but I know it was between that because it caused major devastation. And I called and complained many times over the years about adding fees to my account and taking money even though I should of been grandfathered in but they told me that wasnt correct when in fact I was told many years ago I was correct. I have had a savings and checking account with them since 2010 and to this day still and having money taken. I am trying to not change banks because when I do actually get child support it is attached to this account and has been for 12yrs. They should just correct their mistakes, I shouldnt have to move businesses."
66,I was writing a person check and upon cashing it they told me that I could not get funds and pluse they they keep my deposit from my job I was getting ever two weeks. Not only they did that they close out all my account out.
67,"I attempted to transfer money from one account to another account of the same institution and used the option "" XXXX ''. The transfer requested either an email address or telephone number. I chose the second option because the intended recipient used telephone option. 
I mistakenly transposed the last digit in the telephone number and the money was sent to an account in a different financial institution. 
I was using Wells Fargo online for the transfer, both my account and the recipients account are with this institution. 
The transfer went to a XXXX account. 
I contacted Wells Fargo one hour after the transfer which was done on XX/XX/XXXX and initiated the complaint! On XX/XX/XXXX the intended recipient and I spoke to a Wells Fargo banker on a conference call in which the transposed digit error was determined to be the problem. I was assured that the error would be addressed and funds returned in 1-3 business days. 
I now have been informed by Wells Fargo that they can not get money back and that they only contacted "" XXXX '' to verify that the funds were delivered and that neither they nor XXXX can do anything more. They suggested that I contact the number used in an attempt to secure return of funds. I was told by Wells Fargo that the receiver must initiate return of funds! I asked for the account information associated with transfer and was denied and informed that they "" Wells Fargo '' did not contact "" XXXX ""!"
68,"On XX/XX/XXXX, There was man who put money into my account. They didn't tell me about it or even ask me about that amount. They just return the money back to the person."
69,"As a trustees for my sisters irrevocable trust, my brother and I authorized a transfer of funds from her XXXX XXXX account to her personal Wells Fargo account in the amount of {$35000.00}. The funds never arrived, and were apparently sent to an incorrect account number. Wells Fargo has not provided any answers, nor has it refunded the money. Our account advisors at XXXX XXXX have been actively seeking answers, but to no avail. 
We believe that Wells Fargo is fully aware of where the funds ended up, but have made no effort to retrieve them. 
The funds transfer occurred on Thursday XX/XX/2022 and it has now been almost 2 1/2 months that the funds have been held by Wells Fargo. 

It is worth noting that the funds were allocated to replace a car that had died unexpectedly. When the funds did not arrive, my sister was forced to pay an additional {$600.00} in car rental fees."
74,"On XX/XX/2020 I wanted to purchase an item online, the seller requested funds from XXXX to be transferred using his phone number instead of XXXX to avoid fees. I figured my bank should have fraud protection in case anything went wrong with XXXX and cover my money. I filed a claim with wells fargo and got absolutely no help and they said I cant get my {$500.00} back. I contacted the seller several times to get my money back and requested through XXXX and he declined. I called wells fargo before doing the transaction to ask if I was protected before doing so and the phone banker stated yes and I did he transfer."
